School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2018-19 Learning Network,2019-20 Learning Network,Notes,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI/Dual Score,AP/IB/NOCTI/Dual Denom,AP/IB/NOCTI/Dual Pts Earn,AP/IB/NOCTI/Dual Pts Poss,AP/IB/NOCTI/Dual Pct Earn,AP/IB/NOCTI/Dual Tier,AP/IB/NOCTI/Dual (Participants) Score,AP/IB/NOCTI/Dual (Participants) Denom,AP/IB/NOCTI/Dual (Non-Participants) Score,AP/IB/NOCTI/Dual (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect MMS Dist Score,Teach Effect MMS Prof Score,Teacher Attendance Score,Student Survey Teaching Score
Multicultural Academy Charter School,W12,3312,HS,High School,3821 N. Broad St.,Philadelphia,PA,19140,215-227-0513,215-227-0415,Charter,N/A,272,www.macs.k12.pa.us,'9-12',Citywide,HS-3,Charters,Charters,,58,52.35,90.00,REINFORCE,2nd out of 24,14th out of 85,9,2.56,28.50,INTERVENE,6th out of 21,31st out of 72,91,29.01,32.00,MODEL,2nd out of 24,7th out of 85,72,14.14,19.50,REINFORCE,6th out of 24,22nd out of 85,66,6.65,10.00,REINFORCE,1st out of 23,12th out of 82,26,167,0.64,8.00,8,INTERVENE,18,78,2,167,0.11,1.50,7,INTERVENE,28,106,0.83,8.00,10,INTERVENE,3,106,0.17,1.50,11,INTERVENE,28,142,0.82,8.00,10,INTERVENE,0,142,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,8.09,6.50,6.50,100,MODEL,3.78,6.50,6.50,100,MODEL,1.55,5.53,6.50,85,MODEL,96,180,6.96,8.00,87,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,5.58,1.50,1.50,100,MODEL,2.61,1.50,1.50,100,MODEL,0.04,0.52,1.50,35,WATCH,45,276,4.05,8.00,51,REINFORCE,32,276,12,276,5,276,6,276,91,238,6.00,6.00,100,MODEL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,97,276,2.23,2.50,89,MODEL,64,0.64,1.00,64,REINFORCE,81,0.81,1.00,81,MODEL,26,0.41,1.00,41,WATCH,95,56,3.54,4.50,79,MODEL,75,52,1.36,1.50,91,MODEL,0,51,0.00,1.00,0,INTERVENE,39,51,61,51,20,51,0.24,1.00,24,INTERVENE,73,51,8,51,86,51,1.00,1.00,100,MODEL,51,0.51,1.00,51,REINFORCE,Data Not Available,Data Not Available,Data Not Available,71
"Preparatory Charter School of Mathematics, Science, Technology and Careers",W13,3313,HS,High School,1928 Point Breeze Ave.,Philadelphia,PA,19145,215-334-6144,215-334-6147,Charter,N/A,631,prepchs.org,'9-12',Citywide,HS-5,Charters,Charters,,35,33.53,96.50,WATCH,11th out of 14,42nd out of 85,4,1.12,28.50,INTERVENE,14th out of 14,44th out of 72,45,17.09,38.00,WATCH,10th out of 14,41st out of 85,52,10.44,20.00,REINFORCE,13th out of 14,55th out of 85,49,4.87,10.00,WATCH,13th out of 14,30th out of 82,6,301,0.00,8.00,0,INTERVENE,7,183,1,301,0.04,1.50,3,INTERVENE,10,297,0.00,8.00,0,INTERVENE,0,297,0.00,1.50,0,INTERVENE,31,203,1.05,8.00,13,INTERVENE,0,203,0.03,1.50,2,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.15,0.00,6.50,0,INTERVENE,-3.68,0.00,6.50,0,INTERVENE,0.79,3.88,6.50,60,REINFORCE,95,425,6.56,8.00,82,MODEL,77,35,4.46,6.00,74,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.50,0.75,1.50,50,REINFORCE,1.89,1.45,1.50,96,MODEL,-1.23,0.00,1.50,0,INTERVENE,39,637,3.00,8.00,38,WATCH,37,637,14,637,5,637,5,637,98,578,6.00,6.00,100,MODEL,87,637,0.00,0.50,0,INTERVENE,87,637,1.44,2.50,58,REINFORCE,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,2,0.00,1.00,0,INTERVENE,92,130,3.12,4.50,69,REINFORCE,61,130,0.98,1.50,65,REINFORCE,0,131,0.00,1.00,0,INTERVENE,1,131,99,131,8,131,0.00,1.00,0,INTERVENE,89,131,2,131,64,131,0.78,1.00,78,MODEL,0,0.00,1.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Architecture and Design Charter School,W17,3317,HS,High School,105 S. 7th St.,Philadelphia,PA,19106,215-351-2900,215-351-9458,Charter,N/A,600,www.chadphila.org,'9-12',Citywide,HS-3,Charters,Charters,,22,21.39,96.50,INTERVENE,21st out of 24,64th out of 85,0,0.09,28.50,INTERVENE,19th out of 21,61st out of 72,26,9.96,38.00,WATCH,20th out of 24,62nd out of 85,37,7.43,20.00,WATCH,24th out of 24,72nd out of 85,39,3.91,10.00,WATCH,9th out of 23,39th out of 82,7,145,0.00,8.00,0,INTERVENE,Insufficient Sample,Insufficient Sample,0,145,0.00,1.50,0,INTERVENE,10,132,0.00,8.00,0,INTERVENE,1,132,0.05,1.50,3,INTERVENE,20,142,0.00,8.00,0,INTERVENE,1,142,0.04,1.50,3,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.34,0.00,6.50,0,INTERVENE,-0.94,0.13,6.50,2,INTERVENE,-6.95,0.00,6.50,0,INTERVENE,88,361,4.67,8.00,58,REINFORCE,68,98,3.40,6.00,57,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.03,0.49,1.50,32,WATCH,1.54,1.27,1.50,85,MODEL,-3.56,0.00,1.50,0,INTERVENE,19,617,0.00,8.00,0,INTERVENE,24,617,19,617,12,617,26,617,92,532,6.00,6.00,100,MODEL,100,617,0.50,0.50,100,MODEL,81,617,0.93,2.50,37,WATCH,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,87,107,2.15,4.50,48,WATCH,55,97,0.81,1.50,54,REINFORCE,0,99,0.00,1.00,0,INTERVENE,1,99,99,99,2,99,0.00,1.00,0,INTERVENE,70,99,28,99,73,99,0.95,1.00,95,MODEL,0,0.00,1.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Freire Charter School,W18,3318,HS,High School,2027 Chestnut St.,Philadelphia,PA,19103,215-557-8555,215-557-9051,Charter,N/A,499,www.freirecharterschool.org,'9-12',Citywide,HS-3,Charters,Charters,,31,29.98,96.50,WATCH,18th out of 24,53rd out of 85,1,0.33,28.50,INTERVENE,14th out of 21,54th out of 72,31,11.72,38.00,WATCH,17th out of 24,51st out of 85,69,13.83,20.00,REINFORCE,8th out of 24,31st out of 85,41,4.09,10.00,WATCH,8th out of 23,37th out of 82,17,215,0.00,8.00,0,INTERVENE,13,117,1,215,0.08,1.50,6,INTERVENE,14,210,0.00,8.00,0,INTERVENE,0,210,0.03,1.50,2,INTERVENE,22,185,0.22,8.00,3,INTERVENE,0,185,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.17,1.80,6.50,28,WATCH,-2.22,0.00,6.50,0,INTERVENE,-4.53,0.00,6.50,0,INTERVENE,88,297,4.77,8.00,60,REINFORCE,76,67,4.33,6.00,72,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.52,0.00,1.50,0,INTERVENE,0.64,0.82,1.50,55,REINFORCE,-3.62,0.00,1.50,0,INTERVENE,53,523,5.34,8.00,67,REINFORCE,28,523,10,523,3,523,6,523,94,440,6.00,6.00,100,MODEL,94,523,0.18,0.50,37,WATCH,87,523,1.45,2.50,58,REINFORCE,0,0.00,1.00,0,INTERVENE,84,0.84,1.00,84,MODEL,11,0.02,1.00,2,INTERVENE,86,94,2.01,4.50,45,WATCH,65,85,1.08,1.50,72,REINFORCE,2,87,0.00,1.00,0,INTERVENE,38,87,60,87,6,87,0.00,1.00,0,INTERVENE,78,87,16,87,84,87,1.00,1.00,100,MODEL,0,0.00,1.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
"Math, Civics and Sciences Charter School",W21,3321,HS,High School,447 N. Broad St.,Philadelphia,PA,19123,215-923-4880,N/A,Charter,N/A,324,www.mcscs.org,'9-12',Citywide,HS-3,Charters,Charters,,33,29.96,90.50,WATCH,15th out of 24,48th out of 85,0,0.11,28.50,INTERVENE,18th out of 21,59th out of 72,29,9.33,32.00,WATCH,18th out of 24,55th out of 85,75,15.04,20.00,MODEL,4th out of 24,17th out of 85,55,5.48,10.00,REINFORCE,5th out of 23,23rd out of 82,8,213,0.00,8.00,0,INTERVENE,12,83,2,213,0.11,1.50,8,INTERVENE,9,140,0.00,8.00,0,INTERVENE,0,140,0.00,1.50,0,INTERVENE,19,113,0.00,8.00,0,INTERVENE,0,113,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-4.96,0.00,6.50,0,INTERVENE,-2.86,0.00,6.50,0,INTERVENE,-2.27,0.00,6.50,0,INTERVENE,99,211,7.75,8.00,97,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.84,0.08,1.50,5,INTERVENE,2.47,1.50,1.50,100,MODEL,-1.31,0.00,1.50,0,INTERVENE,49,331,4.63,8.00,58,REINFORCE,32,331,11,331,5,331,3,331,96,299,6.00,6.00,100,MODEL,100,331,0.49,0.50,97,MODEL,99,331,2.42,2.50,97,MODEL,54,0.54,1.00,54,REINFORCE,89,0.89,1.00,89,MODEL,13,0.07,1.00,7,INTERVENE,93,73,3.27,4.50,73,REINFORCE,69,68,1.20,1.50,80,MODEL,3,70,0.00,1.00,0,INTERVENE,27,70,70,70,3,70,0.00,1.00,0,INTERVENE,79,70,19,70,67,70,0.84,1.00,84,MODEL,17,0.17,1.00,17,INTERVENE,Data Not Available,Data Not Available,Data Not Available,35
Philadelphia Academy Charter School,W22,3322,HS,High School,11000 Roosevelt Blvd.,Philadelphia,PA,19116,215-676-8320,215-676-8340,Charter,N/A,434,www.philadelphiaacademy.org,'9-12',Citywide,HS-6,Charters,Charters,,42,37.71,90.50,WATCH,9th out of 10,32nd out of 85,21,5.99,28.50,INTERVENE,9th out of 10,18th out of 72,48,15.26,32.00,WATCH,7th out of 10,37th out of 85,58,11.70,20.00,REINFORCE,10th out of 10,45th out of 85,48,4.76,10.00,WATCH,10th out of 10,33rd out of 82,26,156,0.63,8.00,8,INTERVENE,Insufficient Sample,Insufficient Sample,2,156,0.12,1.50,8,INTERVENE,33,163,1.25,8.00,16,INTERVENE,10,163,0.63,1.50,42,WATCH,52,145,3.24,8.00,41,WATCH,2,145,0.12,1.50,8,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.30,0.00,6.50,0,INTERVENE,-1.22,0.00,6.50,0,INTERVENE,4.48,6.50,6.50,100,MODEL,96,312,7.06,8.00,88,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.90,0.05,1.50,3,INTERVENE,-0.30,0.35,1.50,23,INTERVENE,1.61,1.31,1.50,87,MODEL,38,447,2.88,8.00,36,WATCH,36,447,13,447,5,447,8,447,98,407,6.00,6.00,100,MODEL,100,447,0.50,0.50,100,MODEL,98,447,2.31,2.50,93,MODEL,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,5,0.00,1.00,0,INTERVENE,87,93,2.18,4.50,48,WATCH,58,85,0.89,1.50,59,REINFORCE,29,93,0.48,1.00,48,WATCH,0,93,71,93,28,93,0.45,1.00,45,WATCH,46,93,26,93,63,93,0.77,1.00,77,MODEL,0,0.00,1.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
Mastery Charter School at Hardy Williams,W23,3323,HS,High School,5400 Warrington Ave.,Philadelphia,PA,19143,215-724-2343,215-729-1356,Charter,N/A,421,www.masterycharter.org/hardyhigh,'9-12',Citywide With Criteria,HS-3,Charters,Charters,,56,53.97,96.50,REINFORCE,4th out of 24,18th out of 85,24,6.74,28.50,INTERVENE,2nd out of 21,16th out of 72,91,34.77,38.00,MODEL,1st out of 24,4th out of 85,49,9.81,20.00,WATCH,21st out of 24,61st out of 85,27,2.65,10.00,WATCH,16th out of 23,51st out of 82,27,141,0.70,8.00,9,INTERVENE,Insufficient Sample,Insufficient Sample,4,141,0.21,1.50,14,INTERVENE,42,102,2.22,8.00,28,WATCH,11,102,0.65,1.50,43,WATCH,48,149,2.77,8.00,35,WATCH,3,149,0.20,1.50,13,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,8.11,6.50,6.50,100,MODEL,5.32,6.50,6.50,100,MODEL,5.11,6.50,6.50,100,MODEL,91,222,5.60,8.00,70,REINFORCE,84,64,5.33,6.00,89,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,5.04,1.50,1.50,100,MODEL,1.93,1.47,1.50,98,MODEL,1.76,1.38,1.50,92,MODEL,44,436,3.81,8.00,48,WATCH,26,436,11,436,7,436,13,436,87,380,6.00,6.00,100,MODEL,76,436,0.00,0.50,0,INTERVENE,65,436,0.00,2.50,0,INTERVENE,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,79,94,0.67,4.50,15,INTERVENE,55,78,0.82,1.50,55,REINFORCE,16,79,0.16,1.00,16,INTERVENE,1,79,82,79,3,79,0.00,1.00,0,INTERVENE,76,79,22,79,80,79,1.00,1.00,100,MODEL,0,0.00,1.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
"Mathematics, Science, and Technology Community Charter School (MaST)",W28,3328,HS,High School,1800 E. Byberry Rd.,Philadelphia,PA,19116,267-348-1100,N/A,Charter,N/A,453,www.mastccs.org,'9-12',Citywide,HS-6,Charters,Charters,,67,60.45,90.50,REINFORCE,6th out of 10,9th out of 85,51,14.45,28.50,REINFORCE,6th out of 10,8th out of 72,71,22.75,32.00,REINFORCE,3rd out of 10,16th out of 85,82,16.47,20.00,MODEL,7th out of 10,16th out of 85,68,6.77,10.00,REINFORCE,6th out of 10,11th out of 82,54,133,3.41,8.00,43,WATCH,61,101,23,133,1.40,1.50,93,MODEL,53,128,3.31,8.00,41,WATCH,20,128,1.17,1.50,78,MODEL,69,135,4.89,8.00,61,REINFORCE,4,135,0.27,1.50,18,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,8.20,6.50,6.50,100,MODEL,-4.39,0.00,6.50,0,INTERVENE,2.32,6.50,6.50,100,MODEL,96,339,6.90,8.00,86,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.83,1.50,1.50,100,MODEL,-1.78,0.00,1.50,0,INTERVENE,1.70,1.35,1.50,90,MODEL,60,453,6.44,8.00,81,MODEL,32,453,5,453,2,453,1,453,99,441,6.00,6.00,100,MODEL,100,453,0.50,0.50,100,MODEL,93,453,1.93,2.50,77,MODEL,57,0.57,1.00,57,REINFORCE,83,0.83,1.00,83,MODEL,18,0.20,1.00,20,INTERVENE,93,101,3.25,4.50,72,REINFORCE,76,97,1.40,1.50,93,MODEL,21,97,0.27,1.00,27,WATCH,21,97,59,97,36,97,0.65,1.00,65,REINFORCE,37,97,27,97,88,97,1.00,1.00,100,MODEL,20,0.20,1.00,20,INTERVENE,Data Not Available,Data Not Available,Data Not Available,50
Franklin Towne Charter High School,W31,3331,HS,High School,5301 Tacony St.,Philadelphia,PA,19137,215-289-5000,215-535-8910,Charter,N/A,1221,hs.franklintowne.org,'9-12',Citywide With Criteria,HS-6,Charters,Charters,,81,73.21,90.50,MODEL,2nd out of 10,2nd out of 85,64,18.31,28.50,REINFORCE,3rd out of 10,4th out of 72,99,31.64,32.00,MODEL,1st out of 10,1st out of 85,85,16.99,20.00,MODEL,6th out of 10,11th out of 85,63,6.27,10.00,REINFORCE,7th out of 10,18th out of 82,60,481,3.97,8.00,50,REINFORCE,63,323,16,481,0.96,1.50,64,REINFORCE,80,284,5.96,8.00,74,REINFORCE,18,284,1.10,1.50,73,REINFORCE,80,337,5.95,8.00,74,REINFORCE,6,337,0.37,1.50,25,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,24.35,6.50,6.50,100,MODEL,7.54,6.50,6.50,100,MODEL,14.69,6.50,6.50,100,MODEL,99,882,7.64,8.00,95,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,16.81,1.50,1.50,100,MODEL,7.09,1.50,1.50,100,MODEL,10.88,1.50,1.50,100,MODEL,58,1228,6.12,8.00,76,MODEL,34,1228,5,1228,1,1228,2,1228,99,1147,6.00,6.00,100,MODEL,77,1228,0.00,0.50,0,INTERVENE,99,1228,2.41,2.50,96,MODEL,65,0.65,1.00,65,REINFORCE,82,0.82,1.00,82,MODEL,51,1.00,1.00,100,MODEL,92,277,3.14,4.50,70,REINFORCE,60,258,0.97,1.50,64,REINFORCE,33,264,0.56,1.00,56,REINFORCE,3,264,64,264,26,264,0.40,1.00,40,WATCH,58,264,16,264,68,264,0.86,1.00,86,MODEL,35,0.35,1.00,35,WATCH,Data Not Available,Data Not Available,Data Not Available,64
Mariana Bracetti Academy Charter School,W32,3332,HS,High School,1840 Torresdale Ave.,Philadelphia,PA,19124,215-291-4436,215-291-4985,Charter,N/A,487,www.mbacs.org,'9-12',Citywide,HS-1,Charters,Charters,,58,57.28,98.00,REINFORCE,1st out of 19,12th out of 85,13,3.83,30.00,INTERVENE,2nd out of 14,25th out of 72,91,34.75,38.00,MODEL,2nd out of 19,5th out of 85,69,13.83,20.00,REINFORCE,4th out of 19,32nd out of 85,49,4.87,10.00,WATCH,2nd out of 19,29th out of 82,19,236,0.00,8.00,0,INTERVENE,26,109,4,236,0.25,1.50,17,INTERVENE,30,157,0.99,8.00,12,INTERVENE,7,157,0.42,1.50,28,WATCH,41,147,2.08,8.00,26,WATCH,1,147,0.08,1.50,5,INTERVENE,4,45,0.00,1.50,0,INTERVENE,9.48,6.50,6.50,100,MODEL,5.58,6.50,6.50,100,MODEL,5.83,6.50,6.50,100,MODEL,97,298,7.10,8.00,89,MODEL,70,27,3.64,6.00,61,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,5.82,1.50,1.50,100,MODEL,4.60,1.50,1.50,100,MODEL,2.03,1.50,1.50,100,MODEL,47,502,4.39,8.00,55,REINFORCE,28,502,13,502,5,502,7,502,97,453,6.00,6.00,100,MODEL,84,502,0.00,0.50,0,INTERVENE,91,502,1.77,2.50,71,REINFORCE,53,0.53,1.00,53,REINFORCE,86,0.86,1.00,86,MODEL,21,0.27,1.00,27,WATCH,94,139,3.34,4.50,74,REINFORCE,44,135,0.51,1.50,34,WATCH,12,132,0.05,1.00,5,INTERVENE,12,132,76,132,12,132,0.05,1.00,5,INTERVENE,61,132,27,132,58,132,0.67,1.00,67,REINFORCE,26,0.26,1.00,26,WATCH,Data Not Available,Data Not Available,Data Not Available,47
Esperanza Academy Charter School,W33,3333,HS,High School,301 W. Hunting Park Ave.,Philadelphia,PA,19140,215-457-3667,215-457-4381,Charter,N/A,761,esperanzaacademycs.org,'9-12',Citywide,HS-1,Charters,Charters,,57,55.63,98.00,REINFORCE,2nd out of 19,16th out of 85,13,3.93,30.00,INTERVENE,1st out of 14,24th out of 72,92,34.78,38.00,MODEL,1st out of 19,3rd out of 85,58,11.67,20.00,REINFORCE,7th out of 19,46th out of 85,52,5.25,10.00,REINFORCE,1st out of 19,24th out of 82,19,369,0.00,8.00,0,INTERVENE,35,143,8,369,0.47,1.50,31,WATCH,22,301,0.23,8.00,3,INTERVENE,4,301,0.26,1.50,17,INTERVENE,46,272,2.60,8.00,32,WATCH,2,272,0.13,1.50,9,INTERVENE,7,166,0.24,1.50,16,INTERVENE,13.11,6.50,6.50,100,MODEL,5.96,6.50,6.50,100,MODEL,11.16,6.50,6.50,100,MODEL,88,484,4.86,8.00,61,REINFORCE,89,47,5.92,6.00,99,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,6.83,1.50,1.50,100,MODEL,5.97,1.50,1.50,100,MODEL,5.47,1.50,1.50,100,MODEL,46,801,4.09,8.00,51,REINFORCE,25,801,13,801,6,801,9,801,96,700,6.00,6.00,100,MODEL,71,801,0.00,0.50,0,INTERVENE,89,801,1.57,2.50,63,REINFORCE,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,0,0.00,1.00,0,INTERVENE,92,181,3.01,4.50,67,REINFORCE,51,170,0.70,1.50,47,WATCH,33,171,0.57,1.00,57,REINFORCE,15,171,53,171,6,171,0.00,1.00,0,INTERVENE,67,171,27,171,74,171,0.97,1.00,97,MODEL,0,0.00,1.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
