School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2017-18 Learning Network,2018-19 Learning Network,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Freire Charter School,W18,3318,HS,High School,2027 Chestnut St.,Philadelphia,PA,19103,215-557-8555,215-557-9051,Charter,N/A,481,www.freirecharterschool.org,'9-12',Citywide,HS-3,Charters,Charters,38,36.81,96.5,WATCH,9th out of 15,34th out of 83,11,3.04,28.5,INTERVENE,5th out of 15,29th out of 77,45,17.08,38,WATCH,8th out of 15,36th out of 83,60,12.02,20,REINFORCE,11th out of 15,46th out of 83,47,4.67,10,WATCH,7th out of 15,31st out of 81,31,161,1.11,8,14,INTERVENE,35,104,3,161,0.19,1.5,12,INTERVENE,16,192,0,8,0,INTERVENE,1,192,0.06,1.5,4,INTERVENE,36,176,1.58,8,20,INTERVENE,2,176,0.1,1.5,7,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,4.72,6.5,6.5,100,MODEL,-2.27,0,6.5,0,INTERVENE,-1.36,0,6.5,0,INTERVENE,89,299,5.06,8,63,REINFORCE,64,25,2.88,6,48,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,4.72,1.5,1.5,100,MODEL,1.29,1.15,1.5,76,MODEL,-1.17,0,1.5,0,INTERVENE,49,526,4.59,8,57,REINFORCE,30,526,11,526,6,526,5,526,87,465,6,6,100,MODEL,95,526,0.23,0.5,47,WATCH,84,526,1.2,2.5,48,WATCH,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,87,103,2.23,4.5,50,REINFORCE,78,95,1.44,1.5,96,MODEL,3,100,0,1,0,INTERVENE,36,100,61,100,7,100,0,1,0,INTERVENE,85,100,8,100,88,100,1,1,100,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
"Math, Civics and Sciences Charter School",W21,3321,HS,High School,447 N. Broad St.,Philadelphia,PA,19123,215-923-4880,N/A,Charter,N/A,309,www.mcscs.org,'9-12',Citywide,HS-3,Charters,Charters,28,25.52,90.5,WATCH,11th out of 15,51st out of 83,0,0.06,28.5,INTERVENE,13th out of 15,66th out of 77,25,8,32,WATCH,12th out of 15,51st out of 83,62,12.47,20,REINFORCE,8th out of 15,40th out of 83,50,4.99,10,REINFORCE,3rd out of 15,25th out of 81,5,211,0,8,0,INTERVENE,8,85,0,211,0.03,1.5,2,INTERVENE,6,131,0,8,0,INTERVENE,0,131,0,1.5,0,INTERVENE,20,123,0.03,8,0,INTERVENE,0,123,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.32,0,6.5,0,INTERVENE,-4.07,0,6.5,0,INTERVENE,-2.49,0,6.5,0,INTERVENE,100,213,8,8,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.62,0,1.5,0,INTERVENE,-1.17,0,1.5,0,INTERVENE,-1.85,0,1.5,0,INTERVENE,33,330,2.04,8,25,WATCH,31,330,20,330,8,330,9,330,87,308,6,6,100,MODEL,100,330,0.49,0.5,97,MODEL,97,330,2.25,2.5,90,MODEL,60,0.6,1,60,REINFORCE,86,0.86,1,86,MODEL,20,0.24,1,24,INTERVENE,89,80,2.48,4.5,55,REINFORCE,70,71,1.24,1.5,83,MODEL,0,70,0,1,0,INTERVENE,29,70,71,70,7,70,0,1,0,INTERVENE,87,70,6,70,84,70,1,1,100,MODEL,28,0.28,1,28,WATCH,Data Not Available,Data Not Available,Data Not Available,33
Philadelphia Academy Charter School,W22,3322,HS,High School,11000 Roosevelt Blvd.,Philadelphia,PA,19116,215-676-8320,215-676-8340,Charter,N/A,432,www.philadelphiaacademy.org,'9-12',Citywide,HS-5,Charters,Charters,44,40.22,90.5,WATCH,8th out of 9,30th out of 83,23,6.69,28.5,INTERVENE,8th out of 9,18th out of 77,45,14.42,32,WATCH,7th out of 9,35th out of 83,65,13.09,20,REINFORCE,9th out of 9,33rd out of 83,60,6.03,10,REINFORCE,9th out of 9,20th out of 81,30,166,1.01,8,13,INTERVENE,45,42,2,166,0.14,1.5,10,INTERVENE,37,161,1.73,8,22,INTERVENE,5,161,0.3,1.5,20,INTERVENE,53,138,3.29,8,41,WATCH,4,138,0.22,1.5,14,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.72,0,6.5,0,INTERVENE,-2.97,0,6.5,0,INTERVENE,1.9,6.28,6.5,97,MODEL,97,305,7.21,8,90,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.54,0,1.5,0,INTERVENE,-0.18,0.41,1.5,27,WATCH,0.02,0.51,1.5,34,WATCH,43,435,3.72,8,46,WATCH,42,435,9,435,3,435,4,435,94,425,6,6,100,MODEL,100,435,0.5,0.5,100,MODEL,97,435,2.21,2.5,89,MODEL,66,0.66,1,66,REINFORCE,0,0,1,0,INTERVENE,9,0,1,0,INTERVENE,93,96,3.19,4.5,71,REINFORCE,74,96,1.34,1.5,89,MODEL,11,111,0.02,1,2,INTERVENE,33,111,56,111,27,111,0.43,1,43,WATCH,49,111,24,111,60,111,0.71,1,71,REINFORCE,36,0.36,1,36,WATCH,Data Not Available,Data Not Available,Data Not Available,56
Mastery Charter School at Hardy Williams,W23,3323,HS,High School,5400 Warrington Ave.,Philadelphia,PA,19143,215-724-2343,215-729-1356,Charter,N/A,409,www.masterycharter.org/school/hardy-williams-high,'9-12',Citywide With Criteria,HS-3,Charters,Charters,48,46.44,96.5,WATCH,5th out of 15,22nd out of 83,15,4.14,28.5,INTERVENE,3rd out of 15,24th out of 77,86,32.71,38,MODEL,1st out of 15,6th out of 83,39,7.74,20,WATCH,14th out of 15,62nd out of 83,18,1.85,10,INTERVENE,15th out of 15,60th out of 81,25,156,0.5,8,6,INTERVENE,Insufficient Sample,Insufficient Sample,3,156,0.19,1.5,13,INTERVENE,40,99,2.04,8,26,WATCH,7,99,0.42,1.5,28,WATCH,29,145,0.9,8,11,INTERVENE,1,145,0.08,1.5,6,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,4.04,6.5,6.5,100,MODEL,5.98,6.5,6.5,100,MODEL,3.62,6.5,6.5,100,MODEL,90,244,5.38,8,67,REINFORCE,71,52,3.74,6,62,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.15,1.5,1.5,100,MODEL,3.65,1.5,1.5,100,MODEL,1.2,1.1,1.5,73,REINFORCE,29,419,1.38,8,17,INTERVENE,29,419,18,419,8,419,16,419,85,401,6,6,100,MODEL,97,419,0.36,0.5,71,REINFORCE,68,419,0,2.5,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,75,81,0.06,4.5,1,INTERVENE,54,61,0.79,1.5,53,REINFORCE,0,66,0,1,0,INTERVENE,0,66,100,66,0,66,0,1,0,INTERVENE,77,66,23,66,77,66,1,1,100,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
"Mathematics, Science, and Technology Community Charter School (MaST)",W28,3328,HS,High School,1800 Byberry Rd.,Philadelphia,PA,19116,267-348-1100,N/A,Charter,N/A,427,www.mastccs.org,'9-12',Citywide,HS-5,Charters,Charters,69,62.59,90.5,REINFORCE,4th out of 9,7th out of 83,57,16.28,28.5,REINFORCE,6th out of 9,8th out of 77,65,20.72,32,REINFORCE,3rd out of 9,20th out of 83,88,17.62,20,MODEL,5th out of 9,8th out of 83,80,7.98,10,MODEL,6th out of 9,7th out of 81,56,117,3.56,8,44,WATCH,63,86,17,117,1.03,1.5,68,REINFORCE,61,129,4.12,8,52,REINFORCE,26,129,1.5,1.5,100,MODEL,72,138,5.25,8,66,REINFORCE,14,138,0.83,1.5,55,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,8.26,6.5,6.5,100,MODEL,-1.27,0,6.5,0,INTERVENE,0.9,4.12,6.5,63,REINFORCE,98,304,7.47,8,93,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.48,1.5,1.5,100,MODEL,-0.91,0.05,1.5,3,INTERVENE,1.17,1.09,1.5,72,REINFORCE,63,432,6.84,8,85,MODEL,30,432,5,432,1,432,0,432,99,424,6,6,100,MODEL,100,432,0.5,0.5,100,MODEL,98,432,2.37,2.5,95,MODEL,60,0.6,1,60,REINFORCE,92,0.92,1,92,MODEL,26,0.4,1,40,WATCH,97,104,3.98,4.5,88,MODEL,79,101,1.48,1.5,99,MODEL,20,103,0.26,1,26,WATCH,13,103,67,103,49,103,0.96,1,96,MODEL,40,103,12,103,84,103,1,1,100,MODEL,29,0.29,1,29,WATCH,Data Not Available,Data Not Available,Data Not Available,47
Franklin Towne Charter High School,W31,3331,HS,High School,5301 Tacony St.,Philadelphia,PA,19137,215-289-5000,215-535-8910,Charter,N/A,1169,hs.franklintowne.org,'9-12',Citywide With Criteria,HS-5,Charters,Charters,80,72.5,90.5,MODEL,2nd out of 9,3rd out of 83,60,16.99,28.5,REINFORCE,4th out of 9,6th out of 77,98,31.32,32,MODEL,1st out of 9,2nd out of 83,89,17.71,20,MODEL,4th out of 9,7th out of 83,65,6.49,10,REINFORCE,7th out of 9,16th out of 81,51,427,3.13,8,39,WATCH,55,307,11,427,0.69,1.5,46,WATCH,78,276,5.83,8,73,REINFORCE,11,276,0.67,1.5,45,WATCH,83,339,6.32,8,79,MODEL,6,339,0.35,1.5,24,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,16.7,6.5,6.5,100,MODEL,3.86,6.5,6.5,100,MODEL,9.71,6.5,6.5,100,MODEL,97,858,7.32,8,91,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,12.09,1.5,1.5,100,MODEL,6.27,1.5,1.5,100,MODEL,9.18,1.5,1.5,100,MODEL,63,1203,6.8,8,85,MODEL,31,1203,3,1203,1,1203,2,1203,96,1151,6,6,100,MODEL,81,1203,0,0.5,0,INTERVENE,98,1203,2.35,2.5,94,MODEL,69,0.69,1,69,REINFORCE,86,0.86,1,86,MODEL,52,1,1,100,MODEL,93,272,3.18,4.5,71,REINFORCE,67,252,1.16,1.5,77,MODEL,15,261,0.11,1,11,INTERVENE,11,261,74,261,34,261,0.59,1,59,REINFORCE,60,261,7,261,74,261,0.99,1,99,MODEL,46,0.46,1,46,WATCH,Data Not Available,Data Not Available,Data Not Available,64
Mariana Bracetti Academy Charter School,W32,3332,HS,High School,1840 Torresdale Ave.,Philadelphia,PA,19124,215-291-4436,215-291-4985,Charter,N/A,480,www.mbacs.org,'9-12',Citywide,HS-2,Charters,Charters,58,53.3,92,REINFORCE,1st out of 17,13th out of 83,19,5.67,30,INTERVENE,1st out of 17,21st out of 77,93,29.82,32,MODEL,1st out of 17,4th out of 83,67,13.32,20,REINFORCE,2nd out of 17,29th out of 83,45,4.5,10,WATCH,7th out of 16,34th out of 81,28,203,0.81,8,10,INTERVENE,30,79,2,203,0.15,1.5,10,INTERVENE,34,175,1.43,8,18,INTERVENE,7,175,0.45,1.5,30,WATCH,45,174,2.54,8,32,WATCH,4,174,0.24,1.5,16,INTERVENE,5,37,0.06,1.5,4,INTERVENE,8.86,6.5,6.5,100,MODEL,5.56,6.5,6.5,100,MODEL,5.21,6.5,6.5,100,MODEL,96,316,6.99,8,87,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,6.58,1.5,1.5,100,MODEL,2.19,1.5,1.5,100,MODEL,-0.34,0.33,1.5,22,INTERVENE,42,500,3.58,8,45,WATCH,31,500,13,500,8,500,5,500,93,475,6,6,100,MODEL,83,500,0,0.5,0,INTERVENE,95,500,2.05,2.5,82,MODEL,67,0.67,1,67,REINFORCE,89,0.89,1,89,MODEL,15,0.13,1,13,INTERVENE,88,125,2.34,4.5,52,REINFORCE,52,111,0.74,1.5,50,REINFORCE,4,113,0,1,0,INTERVENE,19,113,78,113,16,113,0.15,1,15,INTERVENE,65,113,19,113,67,113,0.85,1,85,MODEL,42,0.42,1,42,WATCH,Data Not Available,Data Not Available,Data Not Available,58
Esperanza Academy Charter School,W33,3333,HS,High School,301 W. Hunting Park Ave.,Philadelphia,PA,19140,215-457-3667,215-457-4381,Charter,N/A,758,esperanzaacademycs.org,'9-12',Citywide,HS-2,Charters,Charters,54,52.88,98,REINFORCE,2nd out of 17,18th out of 83,13,3.89,30,INTERVENE,2nd out of 17,26th out of 77,87,33.17,38,MODEL,2nd out of 17,5th out of 83,55,11.01,20,REINFORCE,9th out of 17,50th out of 83,48,4.82,10,WATCH,3rd out of 16,27th out of 81,21,412,0.09,8,1,INTERVENE,34,177,7,412,0.44,1.5,29,WATCH,18,316,0,8,0,INTERVENE,2,316,0.11,1.5,8,INTERVENE,39,278,1.89,8,24,INTERVENE,0,278,0.02,1.5,1,INTERVENE,14,172,1.34,1.5,90,MODEL,9.55,6.5,6.5,100,MODEL,5.29,6.5,6.5,100,MODEL,8.07,6.5,6.5,100,MODEL,88,527,4.71,8,59,REINFORCE,77,35,4.46,6,74,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,4.67,1.5,1.5,100,MODEL,5.52,1.5,1.5,100,MODEL,2.99,1.5,1.5,100,MODEL,42,789,3.47,8,43,WATCH,28,789,14,789,6,789,10,789,93,747,6,6,100,MODEL,65,789,0,0.5,0,INTERVENE,88,789,1.54,2.5,62,REINFORCE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,90,173,2.73,4.5,61,REINFORCE,51,157,0.71,1.5,47,WATCH,25,159,0.38,1,38,WATCH,21,159,54,159,3,159,0,1,0,INTERVENE,54,159,43,159,77,159,1,1,100,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
New Foundations Charter School,W34,3334,HS,High School,8001 Torresdale Ave.,Philadelphia,PA,19136,215-624-8100,215-624-0600,Charter,N/A,766,www.nfcsonline.org,'9-12',Citywide With Criteria,HS-5,Charters,Charters,33,30.23,90.5,WATCH,9th out of 9,44th out of 83,10,2.76,28.5,INTERVENE,9th out of 9,33rd out of 77,19,6.12,32,INTERVENE,9th out of 9,62nd out of 83,75,15.06,20,MODEL,8th out of 9,23rd out of 83,63,6.29,10,REINFORCE,8th out of 9,17th out of 81,20,403,0,8,0,INTERVENE,27,177,1,403,0.06,1.5,4,INTERVENE,23,350,0.29,8,4,INTERVENE,5,350,0.31,1.5,21,INTERVENE,40,263,1.99,8,25,WATCH,2,263,0.11,1.5,8,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.28,1.56,6.5,24,INTERVENE,-7.02,0,6.5,0,INTERVENE,-2.99,0,6.5,0,INTERVENE,84,534,3.66,8,46,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.81,0.91,1.5,60,REINFORCE,-2.56,0,1.5,0,INTERVENE,-2.38,0,1.5,0,INTERVENE,59,775,6.32,8,79,MODEL,29,775,5,775,2,775,4,775,96,763,6,6,100,MODEL,100,775,0.5,0.5,100,MODEL,97,775,2.24,2.5,90,MODEL,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,7,0,1,0,INTERVENE,91,206,2.84,4.5,63,REINFORCE,81,190,1.5,1.5,100,MODEL,24,190,0.36,1,36,WATCH,22,190,54,190,34,190,0.59,1,59,REINFORCE,58,190,8,190,83,190,1,1,100,MODEL,0,0,1,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,0
People for People Charter School,W35,3335,HS,High School,800 N. Broad St.,Philadelphia,PA,19130,215-763-7060,215-763-6210,Charter,N/A,67,www.pfpcs.org,'9-11',Citywide,HS-1,Charters,Charters,38,28.93,77,WATCH,1st out of 23,35th out of 83,8,2.14,28.5,INTERVENE,2nd out of 19,39th out of 77,47,12.92,27.5,WATCH,4th out of 23,32nd out of 83,66,13.27,20,REINFORCE,2nd out of 23,31st out of 83,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,,,3,33,0,8,0,INTERVENE,Insufficient Sample,Insufficient Sample,0,33,0,1.5,0,INTERVENE,7,27,0,8,0,INTERVENE,0,27,0,1.5,0,INTERVENE,41,29,2.14,8,27,WATCH,0,29,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-1.2,0,6.5,0,INTERVENE,-0.76,0.52,6.5,8,INTERVENE,1.03,4.4,6.5,68,REINFORCE,100,34,8,8,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,46,72,4.13,8,52,REINFORCE,19,72,11,72,13,72,11,72,86,66,6,6,100,MODEL,100,72,0.5,0.5,100,MODEL,79,72,0.76,2.5,31,WATCH,84,0.84,1,84,MODEL,90,0.9,1,90,MODEL,15,0.14,1,14,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,60,0.6,1,60,REINFORCE,Data Not Available,Data Not Available,Data Not Available,79
Philadelphia Performing Arts: A String Theory Charter School,W36,3336,HS,High School,2600 S. Broad St.,Philadelphia,PA,19145,215-551-4000,215-551-1113,Charter,N/A,716,www.stringtheoryschools.org,'9-12',Citywide With Criteria,HS-6,Charters,Charters,64,53.03,82.5,REINFORCE,2nd out of 10,10th out of 83,33,9.53,28.5,WATCH,2nd out of 10,13th out of 77,98,23.57,24,MODEL,1st out of 10,1st out of 83,72,14.43,20,REINFORCE,4th out of 10,27th out of 83,55,5.51,10,REINFORCE,2nd out of 10,21st out of 81,37,239,1.72,8,22,INTERVENE,42,159,11,239,0.68,1.5,45,WATCH,38,255,1.8,8,23,INTERVENE,15,255,0.87,1.5,58,REINFORCE,61,213,4.06,8,51,REINFORCE,7,213,0.39,1.5,26,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,9.21,6.5,6.5,100,MODEL,5.56,6.5,6.5,100,MODEL,5.66,6.5,6.5,100,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.36,1.5,1.5,100,MODEL,1.48,1.24,1.5,83,MODEL,1.65,1.33,1.5,88,MODEL,41,734,3.3,8,41,WATCH,36,734,13,734,6,734,5,734,96,708,6,6,100,MODEL,100,734,0.5,0.5,100,MODEL,100,734,2.48,2.5,99,MODEL,54,0.54,1,54,REINFORCE,85,0.85,1,85,MODEL,41,0.77,1,77,MODEL,89,223,2.56,4.5,57,REINFORCE,79,199,1.47,1.5,98,MODEL,4,208,0,1,0,INTERVENE,17,208,79,208,18,208,0.21,1,21,INTERVENE,74,208,8,208,90,208,1,1,100,MODEL,27,0.27,1,27,WATCH,Data Not Available,Data Not Available,Data Not Available,40
